,City,Cases,lat,long
0,Gampaha,2947,7.0925595,79.9951396
1,Colombo,2228,6.9349969,79.8538463
2,Kalutara,202,6.5835219,79.9612508
3,Kurunegala,84,7.4870464,80.364908
4,Jaffna,61,9.665093,80.0093029
5,Ratnapura,54,6.6803691,80.4022975
6,Kegalle,52,7.2532006,80.3454132
7,Puttalam,50,8.0301856,79.8286583
8,Polonnaruwa,43,7.9395357,81.0003387
9,Galle,34,6.0328139,80.214955
10,Kandy,31,7.2930922,80.6350768
11,Anuradhapura,25,8.334985,80.4106096
12,Nuwara Eliya,22,6.9738863,80.767127
13,Vavuniya,17,8.7593517,80.5000778
14,Badulla,16,6.9898202,81.0569425
15,Hambantota,12,6.1249126,81.1242563
16,Matale,11,7.4720453,80.6234307
17,Batticaloa,9,7.7356027,81.6941956
18,Mannar,9,8.9772444,79.9137786
19,Trincomalee,9,8.576425,81.2344952
20,Moneragala,8,6.8542846,81.338437
21,Matara,8,5.947822,80.5482919
22,Ampara,8,7.2911226,81.6723954
23,Godagama,1,6.850694,80.0324106
